path,type,area,purpose,imported_by,imports,runtime_used (yes/no/unknown),business_critical (yes/no/unknown),duplicate_of,legacy_flag (yes/no),delete_candidate (yes/no/maybe),confidence,notes
PATCH_V3_4_FIX_SUMMARY_EXPENSES_STOCK.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_V4_0_STOCK_REVIEW_LEDGER.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PROJECT_DOCUMENTATION.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
QUICK_OAUTH_SETUP.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
README.locked.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
README.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
RECEIPTS_ARCHITECTURE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
REPLIT_PROJECT_INFO.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
RUN_SMOKE_V3.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
Restaurant_Management_Dashboard_Documentation.html,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
Restaurant_Management_Dashboard_Documentation.txt,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
SESSION_SUMMARY.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
SHIFT_ANALYTICS_MM_ARCHITECTURE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
TABLET_RESPONSIVE_FIXES.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
TESTING_CHECKLIST.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
TEST_RESULTS_EVIDENCE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
V3_1_TIDY_PATCH_REPORT.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
V3_SYSTEM_REPORT.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
XXibeMCp,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
admin-item-thumb.png,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
admin-menu-item.png,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
after-wait.png,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
apply_mega_patch.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
apply_rolls_purchase_tally_fix.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
apply_rolls_shiftdate_simple.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
apply_rolls_simple_fix.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
archive/_legacy/Analysis.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/AnalysisTabbed.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/DailySales.legacy.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/DailySalesLibrary.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/DailySalesStock.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/DailyStock.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/client/src/pages/DailySales.tsx.bak,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/client/src/pages/DailySales.tsx.bak.1756680894,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/client/src/pages/operations/DailySalesLibrary.tsx.bak,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/client/src/pages/operations/daily-sales/Library.tsx.backup,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/client/src/pages/operations/daily-sales/Library.tsx.bak,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/client/src/pages/operations/daily-sales/Library.tsx.bak.1756364562,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/client/src/pages/operations/daily-sales/View.tsx.backup,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/client/src/pages/operations/daily-sales/View.tsx.bak,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/client/src/pages/operations/daily-sales/View.tsx.bak.1756364562,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/daily-stock.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/daily_sales_form_locked.html,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/debug_files/DailyShiftForm.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/debug_files/debug_package.md,doc,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/debug_files/routes.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/debug_files/schema.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/exports/routes.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/extracted_dashboard/Restaurant-Hub/client/src/pages/ExpensesMerged.backup.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/extracted_dashboard/Restaurant-Hub/client/src/pages/POSLoyverse.backup.tsx,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/focused-export/routes.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/loyverse-ai-updated-package/server/routes/routes.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts/routes.ts.bak,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts/storage.ts.bak,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/agents/bigboss.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/agents/jussi.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/agents/marlo.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/agents/ollie.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/agents/sally.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/ai-agent.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/align-receipts.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/daily-sales.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/daily-stock.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/db-health.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/expenseImports.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/finance.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/forms.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/ingredients-import.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/ingredients/upload.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/library/daily-sales.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/stock-catalog-new.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/stock-catalog.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/api/stock-master.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/constants/burgerDefinitions.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/db.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/examples/validationExample.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/importHistoricalData.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/importIngredientCosts.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/importLoyverseShifts.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/index.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/lib/csvParser.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/lib/email.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/lib/pdf.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/lib/prisma.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/lib/stockCatalog.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/loyverseAPI.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/loyverseAPI_old.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/managerChecklist.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/middleware/errorGuard.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/middleware/prismaWriteBlock.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/middleware/readonly.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/middleware/reqId.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/middleware/timing.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/middleware/validateDailySalesForm.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/migrations/fix-schema.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/objectStorage.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/openai.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/analysisShift.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/analytics.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/bankImport.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/chef.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/costing.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/dailySalesLibrary.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/dailyStock.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/expenses.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/expensesV2.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/forms.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/imports.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/loyverseEnhanced.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/menu.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/posAnalysis.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/posItems.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/posLive.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/posReceipts.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/posUpload.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/posUsage.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/purchaseTally.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/recipes.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/routes/uploads.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/schemas/daily_sales_schema.py,other,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/seedExpenseData.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/seedExpenses.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/seedSuppliers.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/ai.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/aiAnalysisService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/analytics/processReceiptData.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/analytics/processor.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/analytics/runAnalytics.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/analytics/runProcessDaily.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/burgerVarianceService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/cronEmailService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/dailySalesAccess.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/email.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/emailService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/emailTemplate.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/enhancedLoyverseAPI.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/expenseCategorizationEngine.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/gmailService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/googleOAuthEmailService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/googleSheetsService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/jussi/emailService.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/jussi/generateDailySummary.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/jussi/runJussi.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/jussi/runJussiDaily.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/jussi/summaryGenerator.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/jussiDailySummaryService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/jussiLatestShiftService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/jussiShiftSummarizer.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/liveReceiptService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/loyverse.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/loyverseDataOrchestrator.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/loyverseDataValidator.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/loyverseParsers.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/loyverseReceipts.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/pdf.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/pos-ingestion/ingester.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/pos-ingestion/loyverse.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/pos-ingestion/normalizer.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/pos-ingestion/runBackfill.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/pos-ingestion/runIncremental.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/posUploadService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/receiptSummary.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/recipes/bom.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/report.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/salesEmail.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/scheduler.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/scheduler.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/shiftAnalysisService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/shiftAnalytics.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/shiftReportsService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/shoppingList.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/stockAnalysis.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/services/workingEmailService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/shoppingList.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/storage.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/supplierService.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/sync-data.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/sync-receipts.js,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/syncSupplierCSV.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/update-stock.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
archive/_legacy/routes.ts_legacy_dir/utils/formValidator.ts,code,archive,inventory entry,,,no,unknown,,yes,maybe,LIKELY,
