route_type (frontend/backend/api),method,path,file_source,handler_or_component,auth_required,currently_used (yes/no/unknown),duplicate_or_overlap,related_feature,delete_candidate,confidence,notes
frontend,GET,/operations/daily-reports,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 174; source literal; original ""/operations/daily-reports"""
frontend,GET,/operations/system-health,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 175; source literal; original ""/operations/system-health"""
frontend,GET,/operations/ai-ops-control,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 176; source literal; original ""/operations/ai-ops-control"""
frontend,GET,/operations/tasks/:id,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 177; source literal; original ""/operations/tasks/:id"""
frontend,GET,/operations/purchase-history,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 178; source literal; original ""/operations/purchase-history"""
frontend,GET,/operations/health-safety-audit,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 179; source literal; original ""/operations/health-safety-audit"""
frontend,GET,/operations/health-safety-audit/questions,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 180; source literal; original ""/operations/health-safety-audit/questions"""
frontend,GET,/operations/ingredients-master,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 181; source literal; original ""/operations/ingredients-master"""
frontend,GET,/operations/recipe-mapping,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 182; source literal; original ""/operations/recipe-mapping"""
frontend,GET,/operations/variance-monitor,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 183; source literal; original ""/operations/variance-monitor"""
frontend,GET,/operations/issue-register,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 184; source literal; original ""/operations/issue-register"""
frontend,GET,/operations/analysis,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 186; source literal; original ""/operations/analysis"""
frontend,GET,/operations/analysis/loyverse,client/src/App.tsx,LoyverseReports,mixed,unknown,alias/redirect possible,ui-routing,no,LIKELY,"App.tsx line 188; source literal; original ""loyverse"""
frontend,GET,/operations/analysis/stock-review,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,LIKELY,"App.tsx line 189; source literal; original ""stock-review"""
frontend,GET,/operations/analysis/shift-items,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,LIKELY,"App.tsx line 190; source literal; original ""shift-items"""
frontend,GET,/daily-shift-analysis,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,LIKELY,"App.tsx line 191; source literal; original ""daily-shift-analysis"""
frontend,GET,/operations/analysis/stock-review,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 194; source literal; original ""/operations/analysis/stock-review"""
frontend,GET,/analysis/stock-review,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 195; source literal; original ""/analysis/stock-review"""
frontend,GET,/analysis/stock-reconciliation,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 196; source literal; original ""/analysis/stock-reconciliation"""
frontend,GET,/operations/analysis/rolls-ledger,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 197; source literal; original ""/operations/analysis/rolls-ledger"""
frontend,GET,/upload,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,LIKELY,"App.tsx line 199; source literal; original ""upload"""
frontend,GET,/receipts,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,LIKELY,"App.tsx line 200; source literal; original ""receipts"""
frontend,GET,/operations/analysis/upload,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 202; source ROUTES.UPLOAD_STATEMENTS; original {ROUTES.UPLOAD_STATEMENTS}
frontend,GET,/operations/analysis/receipts,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 203; source ROUTES.RECEIPTS; original {ROUTES.RECEIPTS}
frontend,GET,/operations/analysis/receipts/burgers,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 204; source ROUTES.RECEIPTS_BURGERS; original {ROUTES.RECEIPTS_BURGERS}
frontend,GET,/receipts-burger-counts,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 205; source literal; original ""/receipts-burger-counts"""
frontend,GET,/operations/expenses,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 206; source ROUTES.EXPENSES; original {ROUTES.EXPENSES}
frontend,GET,/expenses,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 207; source literal; original ""/expenses"""
frontend,GET,/operations/shift-reports,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 208; source ROUTES.SHIFT_REPORTS; original {ROUTES.SHIFT_REPORTS}
frontend,GET,/reports/shift-report,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 210; source literal; original ""/reports/shift-report"""
frontend,GET,/reports/shift-report/history,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 211; source literal; original ""/reports/shift-report/history"""
frontend,GET,/reports/shift-report/view/:id,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 212; source literal; original ""/reports/shift-report/view/:id"""
frontend,GET,/finance,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 214; source ROUTES.FINANCE; original {ROUTES.FINANCE}
frontend,GET,/finance/profit-loss,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 215; source ROUTES.PROFIT_LOSS; original {ROUTES.PROFIT_LOSS}
frontend,GET,/finance/expenses,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 216; source literal; original ""/finance/expenses"""
frontend,GET,/finance/expenses-import,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 217; source ROUTES.EXPENSES_IMPORT; original {ROUTES.EXPENSES_IMPORT}
frontend,GET,/finance/expenses-v2,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 218; source ROUTES.EXPENSES_V2; original {ROUTES.EXPENSES_V2}
frontend,GET,/menu/cost-calculator,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 220; source ROUTES.COST_CALCULATOR; original {ROUTES.COST_CALCULATOR}
frontend,GET,/menu/ingredients,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 221; source ROUTES.INGREDIENTS; original {ROUTES.INGREDIENTS}
frontend,GET,/menu/ingredients/edit/:id,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 222; source literal; original ""/menu/ingredients/edit/:id"""
frontend,GET,/menu/manager,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 223; source ROUTES.MENU_MGR; original {ROUTES.MENU_MGR}
frontend,GET,/menu/import,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 224; source ROUTES.MENU_IMPORT; original {ROUTES.MENU_IMPORT}
frontend,GET,/menu/description-tool,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 225; source ROUTES.MENU_DESC_TOOL; original {ROUTES.MENU_DESC_TOOL}
frontend,GET,/recipe-management,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 226; source ROUTES.RECIPE_MANAGEMENT; original {ROUTES.RECIPE_MANAGEMENT}
frontend,GET,/menu/recipes,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 227; source ROUTES.RECIPES; original {ROUTES.RECIPES}
frontend,GET,/menu/recipes/new,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 228; source ROUTES.RECIPES_NEW; original {ROUTES.RECIPES_NEW}
frontend,GET,/menu/recipes/:id,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 229; source ROUTES.RECIPES_EDIT; original {ROUTES.RECIPES_EDIT}
frontend,GET,/menu/recipe-cards,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 230; source ROUTES.RECIPE_CARDS; original {ROUTES.RECIPE_CARDS}
frontend,GET,/menu/ingredient-management,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 231; source ROUTES.INGREDIENT_MANAGEMENT; original {ROUTES.INGREDIENT_MANAGEMENT}
frontend,GET,/products,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 232; source literal; original ""/products"""
frontend,GET,/products/new,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 233; source literal; original ""/products/new"""
frontend,GET,/products/:id,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 234; source literal; original ""/products/:id"""
frontend,GET,/managers/nightly-checklist,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 236; source ROUTES.NIGHTLY_CHECKLIST; original {ROUTES.NIGHTLY_CHECKLIST}
frontend,GET,/ai/jussi-ops,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 237; source ROUTES.JUSSI_AI; original {ROUTES.JUSSI_AI}
frontend,GET,/ai/jane-accounts,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 238; source ROUTES.JANE_ACCOUNTS; original {ROUTES.JANE_ACCOUNTS}
frontend,GET,/marketing/online-ordering,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 240; source ROUTES.ONLINE_ORDERING; original {ROUTES.ONLINE_ORDERING}
frontend,GET,/online-ordering/catalog,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 241; source literal; original ""/online-ordering/catalog"""
frontend,GET,/marketing/menu-admin,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 242; source ROUTES.MENU_ADMIN; original {ROUTES.MENU_ADMIN}
frontend,GET,/admin/orders,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 243; source ROUTES.ADMIN_ORDERS; original {ROUTES.ADMIN_ORDERS}
frontend,GET,/admin/loyverse-mapping,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 244; source literal; original ""/admin/loyverse-mapping"""
frontend,GET,/admin/data-safety,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 245; source literal; original ""/admin/data-safety"""
frontend,GET,/partners,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 247; source literal; original ""/partners"""
frontend,GET,/partners/analytics,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 248; source literal; original ""/partners/analytics"""
frontend,GET,/delivery/admin,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 250; source literal; original ""/delivery/admin"""
frontend,GET,/delivery/drivers,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 251; source literal; original ""/delivery/drivers"""
frontend,GET,/delivery/history,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 252; source literal; original ""/delivery/history"""
frontend,GET,/kds,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 254; source literal; original ""/kds"""
frontend,GET,/kds/history,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 255; source literal; original ""/kds/history"""
frontend,GET,/menu-v3,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 257; source literal; original ""/menu-v3"""
frontend,GET,/menu-management/ingredients,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 258; source literal; original ""/menu-management/ingredients"""
frontend,GET,/menu-management,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 259; source literal; original ""/menu-management"""
frontend,GET,/pos-login,client/src/App.tsx,POSLogin,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 261; source literal; original ""/pos-login"""
frontend,GET,/pos,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 262; source literal; original ""/pos"""
frontend,GET,/pos-register,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 263; source literal; original ""/pos-register"""
frontend,GET,/pos-checkout,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 264; source literal; original ""/pos-checkout"""
frontend,GET,/pos-receipt,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 265; source literal; original ""/pos-receipt"""
frontend,GET,/pos/customer-display,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 266; source literal; original ""/pos/customer-display"""
frontend,GET,/stock-live,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 268; source literal; original ""/stock-live"""
frontend,GET,/analysis/ingredients-usage,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 270; source literal; original ""/analysis/ingredients-usage"""
frontend,GET,/analysis/stock-variance,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 271; source literal; original ""/analysis/stock-variance"""
frontend,GET,/analysis/receipts,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 272; source literal; original ""/analysis/receipts"""
frontend,GET,/analysis/ingredients,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 273; source literal; original ""/analysis/ingredients"""
frontend,GET,/analysis/grab-loyverse-monthly-reconciliation,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 274; source literal; original ""/analysis/grab-loyverse-monthly-reconciliation"""
frontend,GET,/saas,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 276; source literal; original ""/saas"""
frontend,GET,/settings/tenant,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 277; source literal; original ""/settings/tenant"""
frontend,GET,/settings/payments,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 278; source literal; original ""/settings/payments"""
frontend,GET,/membership/dashboard,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 280; source literal; original ""/membership/dashboard"""
frontend,GET,/membership/register,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 281; source literal; original ""/membership/register"""
frontend,GET,/analysis/daily-review,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 283; source literal; original ""/analysis/daily-review"""
frontend,GET,/operations/analysis/daily-shift-analysis,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 284; source literal; original ""/operations/analysis/daily-shift-analysis"""
frontend,GET,/marketing,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 286; source literal; original ""/marketing"""
frontend,GET,/analysis-prototype,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,maybe,VERIFIED,"App.tsx line 288; source literal; original ""/analysis-prototype"""
frontend,GET,*,client/src/App.tsx,NotFound,mixed,unknown,alias/redirect possible,ui-routing,no,LIKELY,"App.tsx line 290; source literal; original ""*"""
api,GET,/api/suppliers-json,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,POST,/api/stock-catalog/import,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/daily-stock,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,POST,/api/daily-stock,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,POST,/api/pos/upload,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,POST,/api/pos/upload-bundle,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/pos/batches,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/pos/:batchId/analyze,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis/shift,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/profit-loss,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/loyverse/shifts,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/loyverse/receipts,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/dashboard/stock-discrepancies,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,POST,/api/analysis/upload,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,POST,/api/analysis/trigger,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,POST,/api/analysis/generate,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis/stock-reconciliation,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis/usage-reconciliation,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis/list,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis/daily-sales,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis/daily-sales/export.csv,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
backend,GET,/online-ordering/*,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis/receipts-summary,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,POST,/api/analysis/receipts-truth/rebuild,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis/receipts-truth,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
api,GET,/api/analysis/receipts-truth/lines,server/routes.ts,inline app handler,unknown,unknown,,inline route family,unknown,VERIFIED,direct app.METHOD in file
